"Sector","Ticket type","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021 [note 1]","2022 [note 1]","2023 [note 1]","2024 [note 1]","2025 [note 1]","Average change in price 2025 on 2024 (percentage)","Expenditure weights (percentage)","Real terms change in average price, 2025 on 2024 (percentage)","Real terms change in average price, 2025 on 2004 (percentage)"
"London and South East","Advance",100,104.805528105863,113.673718766893,128.020154266536,135.456898962816,106.482146996439,107.914904576021,116.027777603581,119.556442066419,129.159094258146,130.296585899484,134.415455099105,137.703624924841,137.177733927846,144.159844759533,144.471410706946,144.828420491162,133.853099283875,"148.410588460535","161.54481154597707","165.8885080547665","181.91900190167337","9.6634143225970615","2.3801157873311727","6.2629983746095341","-15.205553215175124"
"London and South East","Anytime",100,104.182780656816,109.774510856174,115.362411463807,121.931348498709,131.238993000438,131.69523477967,139.760819597962,148.753359516296,155.603262195932,159.606815717568,162.700938285632,163.900221359932,166.119920971982,171.054973255355,175.484276089885,180.138808157413,184.661443402286,"191.680915283747","202.88201137292668","212.82924788082147","222.86363887536029","4.7147612907779388","18.162651453405644","1.4677919484282427","3.879192219311197"
"London and South East","Off Peak",100,105.734655668979,110.827086243191,116.745679021636,124.049083155997,133.104463698417,134.841194102583,143.48478423613,152.30801856647,158.918128761229,163.171020251445,166.976086241199,168.459719656708,171.575757372805,177.074326967587,181.94683787625,186.530427239579,191.309609118097,"198.583304929175","210.30178880472675","220.95896253591724","231.78435500775933","4.8992773805599166","16.896365504580633","1.646586609069705","8.0372360820413853"
"London and South East","Season",100,104.702008555942,108.921223047117,114.031449479947,120.53178401512,127.985137993756,128.013623447664,137.359391354873,145.551340651251,151.594949725631,156.24143997044,160.356176351638,161.123107086842,163.490697016601,168.524263699838,173.11992231598,177.963934249535,182.293301696974,"188.51134739677801","199.34883622047144","209.13192601683184","218.89922577039042","4.6704010906361937","6.1555011645456936","1.4248072583683902","2.0313356867423265"
"London and South East","Super Off Peak",100,101.304686396527,103.136767365411,106.414393080757,115.808873257064,126.18455327632,126.678448190382,132.950738590348,140.743924195261,147.273236412468,152.384706137824,155.155049789469,156.280352996145,158.966613870352,165.755619261788,170.717406297863,176.620589099811,181.448193071114,"188.278411128664","199.50955339368713","211.81043758555532","226.37556023773143","6.8764895716212813","3.6624627691339637","3.5624898949818644","5.5161373760081309"
"London and South East","Other",100,100.36708491896,100.75169405536,105.579106199952,110.994891680186,112.685641419886,113.914612153135,119.95043523119,125.832915579071,133.43782341995,133.773374319695,135.205115121952,136.284634088634,136.598016458003,139.412660843966,139.693904772778,152.498622180817,153.365397605551,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"London and South East","All tickets",100,104.809789336962,109.617259686888,115.059629155144,121.807511919616,130.053598806932,130.620244782978,139.318594216912,147.807754759845,154.354933561972,158.664626713676,162.352041501407,163.504166375484,165.941458044138,171.243622059727,175.750290048922,180.417160712044,184.437557660817,"191.96293608644399","203.49900498499971","213.63977941587422","224.73138229464305","5.1917311041487997","47.257096678997115","1.9299720001441849","4.7497679608145216"
"London and South East","Revenue per journey",100,104.323542893712,107.553721182166,114.234598694663,117.173252394985,123.344228645424,130.988608747987,128.456782681526,131.014535393334,134.475231355578,137.317622404169,139.756762695774,141.761729660954,141.840791965958,146.547907769402,151.66055319651,154.671419763818,134.668914866225,"151.39460669177112","157.79007486469857","162.95173583475793","169.29076640299056","3.8901276723193283","[z]","[z]","[z]"
"Long distance","Advance",100,104.554811629397,110.8297584607,122.576439853642,131.819327216869,143.826515398189,141.495793655895,147.901480637851,156.343417268133,162.978820907952,166.760429105627,171.930684749073,171.731759305451,165.789048553063,166.307520012484,170.951690556319,173.374519738033,164.832550255902,"179.52111626252201","190.26008549113826","196.44375699884503","207.95322785142375","5.8589140364722239","17.520543106512271","2.5764670896048623","-3.070714282442812"
"Long distance","Anytime",100,105.109370289428,115.814964903803,125.089644924529,135.049228097908,148.003213723674,152.247950949115,160.443122560168,170.399322111062,176.437282635514,181.194702516296,183.186202410677,184.734252269525,190.524849038898,196.01861309764,201.709076343654,207.332369513573,212.841099699182,"219.50972340803901","230.0474726409571","240.04738167056342","250.2893367855084","4.2666389625531735","5.214052243254752","1.0335648861949325","16.662611530481911"
"Long distance","Off Peak",100,104.172553202195,110.921472528378,114.992063738078,120.205174571891,128.598319036676,129.936576470471,137.981591837877,146.816398182215,153.063353556098,157.097177903063,159.219845876587,161.232120317837,165.099167554629,172.036006749351,176.863429309194,181.843778284936,178.788270662911,"185.65795305358699","197.26514124069294","207.71470661731445","219.04955720679845","5.4569321422035291","10.219415904350836","2.1869497501972148","2.1014068219801807"
"Long distance","Season",100,104.242916547213,109.007448838751,116.134858520676,123.063065940759,135.236053945044,134.758703567919,142.885579956343,151.371454831215,158.264866099422,163.490339159511,167.723113933483,168.851323806648,172.187920633971,177.821945649555,183.595640460679,188.68015949504,193.181186843793,"200.37751363242299","211.93704390133271","222.17157273684523","232.00468340873579","4.4259085673114189","0.84197330933424508","1.1878958985575667","8.1399335720038781"
"Long distance","Super Off Peak",100,105.676071177919,110.943730477177,115.239327497439,124.735668623961,132.170557844061,133.074482974717,139.077261923948,147.267165375054,153.760489070473,157.416197969622,159.310485762761,160.536406840673,163.850367922112,169.095993114563,173.999074375412,177.999592231343,180.876032177828,"187.40109292696999","198.42904397091596","208.27362675907003","218.0736446520732","4.7053571042577484","3.8863820679542913","1.4586793645908349","1.6465232511423178"
"Long distance","Other",100,104.594126287494,113.777741663641,125.788512330069,139.527993984164,137.606420255687,139.329887160527,150.983263226461,161.063616293901,164.135679604442,165.744589858364,168.28296958651,171.226799672418,173.709500242624,179.225259946483,182.715958578539,184.809267787152,186.314978875921,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"Long distance","All tickets",100,104.738537127975,113.150127712686,120.680786503751,128.608779470661,139.410735694588,140.655695019188,148.271116472799,157.280684034166,163.71023935086,167.898892671359,171.202504508575,172.220759600675,173.102053653382,177.112915826322,182.170628683122,186.195589087371,184.068776044109,"195.261869143311","206.86469954838392","215.64862025267473","227.24746424740877","5.3785848391442226","37.682366631406396","2.1110318208761738","5.9225414205401083"
"Long distance","Revenue per journey",100,103.521838404236,106.360167410438,109.9239223451,115.939684373843,118.032717813743,118.597450884899,119.889764105017,122.933921367285,127.672657901713,131.465744610611,133.664031750888,138.053521026956,137.609739255203,139.769829841897,145.646028720267,149.390907425049,120.215116901971,"135.12777726808085","141.51334927211454","147.67264125725291","150.30468753368024","1.7823520010332758","[z]","[z]","[z]"
